experiment,condition,protocol,genotype,pupilSize,freq,gain1,gain2
12,Awake,Multitone,Alpha9KO,na,12688,34.5656255793566,27.6725745513906
12,Awake,Multitone,Alpha9KO,na,13248,37.8218419801093,29.4982411952063
12,Awake,Multitone,Alpha9KO,na,13810,33.1533629317759,26.808245496699
12,Awake,Multitone,Alpha9KO,na,14375,NaN,NaN
1,Anesth,Multitone,WT,na,4068,NaN,14.3872601885376
1,Anesth,Multitone,WT,na,4588,16.3095371500228,15.6012657956719
1,Anesth,Multitone,WT,na,5110,NaN,14.5095961984059
1,Anesth,Multitone,WT,na,5635,8.74825978195108,13.5850504953336
1,Anesth,Multitone,WT,na,6163,NaN,13.5445946850046
1,Anesth,Multitone,WT,na,6693,11.8569711991549,14.7365656744129
1,Anesth,Multitone,WT,na,7225,NaN,15.0192261726171
1,Anesth,Multitone,WT,na,7760,NaN,17.1441535226136
1,Anesth,Multitone,WT,na,8298,12.1537567196903,18.8938982749013
1,Anesth,Multitone,WT,na,8838,13.3280193438916,21.2923684367475
1,Anesth,Multitone,WT,na,9380,20.8305763865939,25.4258228611724
1,Anesth,Multitone,WT,na,9925,25.0277651815182,24.6910218944943
1,Anesth,Multitone,WT,na,10473,26.4506627788706,24.430393606151
1,Anesth,Multitone,WT,na,11023,29.2519958397968,27.4605720297478
1,Anesth,Multitone,WT,na,11575,32.5005128649835,25.9725270360312
1,Anesth,Multitone,WT,na,12130,29.7519131364474,26.6664945956928
1,Anesth,Multitone,WT,na,12688,NaN,NaN
1,Anesth,Multitone,WT,na,13248,NaN,NaN
1,Anesth,Multitone,WT,na,13810,NaN,NaN
1,Anesth,Multitone,WT,na,14375,NaN,NaN
2,Anesth,Multitone,WT,na,4068,NaN,21.500953260559
2,Anesth,Multitone,WT,na,4588,22.0843411110351,18.8092102357996
2,Anesth,Multitone,WT,na,5110,NaN,16.2245380600674
2,Anesth,Multitone,WT,na,5635,NaN,16.3269956284298
2,Anesth,Multitone,WT,na,6163,15.9264920023597,13.8535753603185
2,Anesth,Multitone,WT,na,6693,NaN,13.2718696261776
2,Anesth,Multitone,WT,na,7225,14.5979794235749,14.3404248679911
2,Anesth,Multitone,WT,na,7760,15.5761931109271,14.8431709385021
2,Anesth,Multitone,WT,na,8298,NaN,16.1934833645128
2,Anesth,Multitone,WT,na,8838,11.4588553390863,17.8115105256686
2,Anesth,Multitone,WT,na,9380,10.9518937865912,20.1520646585434
2,Anesth,Multitone,WT,na,9925,13.4633716555853,22.1179832777984
2,Anesth,Multitone,WT,na,10473,18.6788986950246,22.9736104371343
2,Anesth,Multitone,WT,na,11023,23.5014924208815,24.4352826866479
2,Anesth,Multitone,WT,na,11575,29.301230039252,25.5017782576904
2,Anesth,Multitone,WT,na,12130,33.8149211166276,29.461334846195
2,Anesth,Multitone,WT,na,12688,31.6357573486458,28.7770375413733
2,Anesth,Multitone,WT,na,13248,NaN,27.2287918555247
2,Anesth,Multitone,WT,na,13810,NaN,NaN
2,Anesth,Multitone,WT,na,14375,NaN,NaN
3,Anesth,Multitone,WT,na,4068,18.9916507252364,18.7386012811582
3,Anesth,Multitone,WT,na,4588,22.0843411110351,19.649229636026
3,Anesth,Multitone,WT,na,5110,21.3093433958595,16.030376668389
3,Anesth,Multitone,WT,na,5635,NaN,15.4943077192169
3,Anesth,Multitone,WT,na,6163,13.9966898648255,13.849478263597
3,Anesth,Multitone,WT,na,6693,14.8236777908505,13.3616506333644
3,Anesth,Multitone,WT,na,7225,13.8582363253659,13.9681064012512
3,Anesth,Multitone,WT,na,7760,15.5761931109271,15.0704164576938
3,Anesth,Multitone,WT,na,8298,13.5213460903413,16.708451744199
3,Anesth,Multitone,WT,na,8838,12.9602913105435,18.2762452261923
3,Anesth,Multitone,WT,na,9380,14.5119563832084,21.103216551934
3,Anesth,Multitone,WT,na,9925,18.6571867609273,23.6571516501029
3,Anesth,Multitone,WT,na,10473,22.6121653667319,24.4540642920246
3,Anesth,Multitone,WT,na,11023,27.1396806225635,25.6253455635828
3,Anesth,Multitone,WT,na,11575,32.4310055790855,27.1492443561029
3,Anesth,Multitone,WT,na,12130,33.8149211166276,29.374224867563
3,Anesth,Multitone,WT,na,12688,31.6357573486458,29.245724505485
3,Anesth,Multitone,WT,na,13248,NaN,27.2287918555247
3,Anesth,Multitone,WT,na,13810,NaN,NaN
3,Anesth,Multitone,WT,na,14375,NaN,NaN
4,Anesth,Multitone,WT,na,4068,16.5143111824992,15.7249486103279
4,Anesth,Multitone,WT,na,4588,22.0843411110351,18.7532762028156
4,Anesth,Multitone,WT,na,5110,21.3093433958595,14.9839629369482
4,Anesth,Multitone,WT,na,5635,NaN,14.2232596167639
4,Anesth,Multitone,WT,na,6163,13.9966898648255,13.5057299349825
