experiment,condition,protocol,genotype,pupilSize,freq,level,mag,phi
2,Awake,Multitone,WT,na,13248,80,0.661325757404949,-3.29249350598574
2,Awake,Multitone,WT,na,13810,80,0.728302627355237,-3.26193557594561
2,Awake,Multitone,WT,na,14375,80,0.870395443806636,-2.91783248900638
3,Awake,Multitone,WT,na,4068,10,0.613037292207624,0.0484935071501827
3,Awake,Multitone,WT,na,4588,10,0.495242752932294,-0.146275009134918
3,Awake,Multitone,WT,na,5110,10,0.489110628147234,-0.899328420737281
3,Awake,Multitone,WT,na,5635,10,0.504341642509031,-0.517229197480137
3,Awake,Multitone,WT,na,6163,10,0.639170241314639,-1.04474325012661
3,Awake,Multitone,WT,na,6693,10,0.716332129746128,-1.34523424114742
3,Awake,Multitone,WT,na,7225,10,0.703638498147588,-1.65902725496537
3,Awake,Multitone,WT,na,7760,10,0.524233640497561,-1.71852962293219
3,Awake,Multitone,WT,na,8298,10,0.541284195883613,-1.95309703172572
3,Awake,Multitone,WT,na,8838,10,0.48948903008728,-2.24738981120831
3,Awake,Multitone,WT,na,9380,10,0.574671165652799,-2.57859049847662
3,Awake,Multitone,WT,na,9925,10,0.577154524065182,-2.15137912618128
3,Awake,Multitone,WT,na,10473,10,0.796038730564949,-2.19355350115967
3,Awake,Multitone,WT,na,11023,10,1.02002926182674,-2.66749251069182
3,Awake,Multitone,WT,na,11575,10,1.53811456306041,-3.07216256309242
3,Awake,Multitone,WT,na,12130,10,1.8375161561265,-2.85564232753012
3,Awake,Multitone,WT,na,12688,10,1.61246116486219,-2.97954752826807
3,Awake,Multitone,WT,na,13248,10,0.782564973228077,-3.39296290804127
3,Awake,Multitone,WT,na,13810,10,0.506963501569514,-3.55663439830482
3,Awake,Multitone,WT,na,14375,10,NaN,NaN
3,Awake,Multitone,WT,na,4068,20,0.460715327895243,-0.076319646203101
3,Awake,Multitone,WT,na,4588,20,0.569233958714596,-0.394436206320207
3,Awake,Multitone,WT,na,5110,20,0.47278890317493,-0.575340855542314
3,Awake,Multitone,WT,na,5635,20,0.46022089296342,-0.600188812238393
3,Awake,Multitone,WT,na,6163,20,0.465442124194512,-0.924528155031924
3,Awake,Multitone,WT,na,6693,20,0.560481438558989,-1.25807919141309
3,Awake,Multitone,WT,na,7225,20,0.492578850085824,-1.55414196421014
3,Awake,Multitone,WT,na,7760,20,0.488805298299055,-1.53356007429309
3,Awake,Multitone,WT,na,8298,20,0.528325845961178,-2.00660707498888
3,Awake,Multitone,WT,na,8838,20,0.66183270067912,-2.26449170951059
3,Awake,Multitone,WT,na,9380,20,0.813180016489543,-2.58134199577555
3,Awake,Multitone,WT,na,9925,20,0.978905967669762,-2.18520673627251
3,Awake,Multitone,WT,na,10473,20,1.72320758798688,-2.20954772679148
3,Awake,Multitone,WT,na,11023,20,2.06165631068958,-2.65828407289158
3,Awake,Multitone,WT,na,11575,20,2.81303383081989,-3.06360889780145
3,Awake,Multitone,WT,na,12130,20,3.18308092294453,-2.86683747080492
3,Awake,Multitone,WT,na,12688,20,2.72243880707025,-2.9840696790235
3,Awake,Multitone,WT,na,13248,20,1.26150284239783,-3.29265335135578
3,Awake,Multitone,WT,na,13810,20,0.577431927891417,-3.48741119175194
3,Awake,Multitone,WT,na,14375,20,NaN,NaN
3,Awake,Multitone,WT,na,4068,30,0.581026473788922,-0.118325089071155
3,Awake,Multitone,WT,na,4588,30,0.529030689481321,-0.401697529968718
3,Awake,Multitone,WT,na,5110,30,0.523652042986379,-0.634576126180766
3,Awake,Multitone,WT,na,5635,30,0.548137443035269,-0.620769376712124
3,Awake,Multitone,WT,na,6163,30,0.546944182022867,-1.02169798460981
